index,country_or_territory_name,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,date
0,North America,1631618,30762,99605,1933,404897,1127116,17293,0,0,0,0,2020-05-15
1,Europe,1741129,22456,160482,1414,739811,840836,12196,0,0,0,0,2020-05-15
2,South America,400715,23506,21300,1262,139631,239784,10272,0,0,0,0,2020-05-15
3,Asia,757923,18965,23963,371,431944,302016,4932,0,0,0,0,2020-05-15
4,Africa,79780,2778,2639,61,30210,46931,288,0,0,0,0,2020-05-15
5,Oceania,8621,31,119,0,7858,644,19,0,0,0,0,2020-05-15
6,,721,0,15,0,651,55,4,0,0,0,0,2020-05-15
7,World,4620507,98498,308123,5041,1755002,2557382,45004,593,395,0,0,2020-05-15
8,USA,1483736,26143,88479,1567,326104,1069153,16135,4486,268,11083944,33511,2020-05-15
9,Spain,274367,1721,27459,138,188967,57941,1320,5868,587,2467761,52784,2020-05-15
10,Russia,262843,10598,2418,113,58226,202199,2300,1801,17,6413948,43953,2020-05-15
11,UK,236711,3560,33998,384,0,0,1559,3489,501,2353078,34686,2020-05-15
12,Italy,223885,789,31610,242,120205,72070,808,3702,523,2875680,47553,2020-05-15
13,Brazil,218223,15305,14817,824,84970,118436,8318,1028,70,735224,3462,2020-05-15
14,France,179506,636,27529,104,60448,91529,2203,2751,422,1384633,21219,2020-05-15
15,Germany,175699,724,8001,73,151700,15998,1294,2098,96,3147771,37585,2020-05-15
16,Turkey,146457,1708,4055,48,106133,36269,944,1739,48,1547389,18373,2020-05-15
17,Iran,116635,2102,6902,48,91836,17897,2727,1391,82,658604,7854,2020-05-15
18,India,85784,3787,2753,104,30258,52773,0,62,2,2039952,1480,2020-05-15
19,Peru,84495,3891,2392,125,27147,54956,851,2567,73,605383,18395,2020-05-15
20,Canada,74613,1212,5562,90,36895,32156,502,1979,148,1225049,32495,2020-05-15
21,Belgium,54644,356,8959,56,14301,31384,380,4718,773,645314,55711,2020-05-15
22,Saudi Arabia,49176,2307,292,9,21869,27015,167,1415,8,530265,15263,2020-05-15
23,Netherlands,43681,200,5643,53,0,0,378,2550,329,287943,16809,2020-05-15
24,Mexico,42595,2409,4477,257,28475,9643,378,331,35,155932,1211,2020-05-15
25,Chile,39542,2502,394,26,16614,22534,584,2071,21,341347,17876,2020-05-15
26,Pakistan,37218,1430,803,33,10155,26260,111,169,4,344450,1563,2020-05-15
27,Ecuador,31467,965,2594,256,3433,25440,197,1787,147,89817,5101,2020-05-15
28,Switzerland,30514,51,1878,6,27100,1536,69,3529,217,334274,38660,2020-05-15
29,Qatar,29425,1153,14,0,3546,25865,72,10237,5,148173,51547,2020-05-15
30,Sweden,29207,625,3646,117,4971,20590,351,2894,361,177500,17590,2020-05-15
31,Portugal,28583,264,1190,6,3328,24065,112,2802,117,600061,58827,2020-05-15
32,Belarus,27730,958,156,5,8807,18767,92,2934,17,321705,34044,2020-05-15
33,Singapore,26891,793,21,0,7248,19622,18,4601,4,224262,38372,2020-05-15
34,Ireland,23956,129,1518,12,19470,2968,69,4859,308,258808,52491,2020-05-15
35,UAE,21831,747,210,2,7328,14293,1,2211,21,1560923,158074,2020-05-15
36,Bangladesh,20065,1202,298,15,3882,15885,1,122,2,160512,976,2020-05-15
37,Poland,18016,401,907,24,6918,10191,160,476,24,576276,15225,2020-05-15
38,Ukraine,17330,483,476,20,4473,12381,225,396,11,211614,4835,2020-05-15
39,Israel,16589,10,266,1,12587,3736,60,1921,31,485922,56258,2020-05-15
40,Indonesia,16496,490,1076,33,3803,11617,0,60,4,178602,654,2020-05-15
41,Romania,16437,190,1070,17,9370,5997,219,854,56,294601,15301,2020-05-15
42,Japan,16203,83,713,16,10338,5152,245,128,6,233144,1843,2020-05-15
43,Austria,16109,51,628,2,14471,1010,47,1790,70,351351,39040,2020-05-15
44,Colombia,14216,606,546,21,3460,10210,137,280,11,177050,3484,2020-05-15
45,South Africa,13524,785,247,9,6083,7194,119,228,4,421555,7120,2020-05-15
46,Kuwait,12860,885,96,8,3640,9124,190,3017,23,236004,55372,2020-05-15
47,Philippines,12091,215,806,16,2460,8825,77,111,7,191963,1755,2020-05-15
48,Dominican Republic,11739,419,424,2,3557,7758,127,1084,39,50108,4625,2020-05-15
49,Egypt,11228,399,592,21,2799,7837,41,110,6,135000,1323,2020-05-15
50,S. Korea,11018,27,260,0,9821,937,55,215,5,726747,14177,2020-05-15
51,Denmark,10791,78,537,0,8959,1295,32,1864,93,368889,63716,2020-05-15
52,Serbia,10438,64,225,1,4301,5912,20,1194,26,168670,19295,2020-05-15
53,Panama,9118,174,260,4,6080,2778,72,2118,60,46898,10892,2020-05-15
54,Czechia,8406,55,295,2,5381,2730,37,785,28,342131,31956,2020-05-15
55,Norway,8219,23,232,0,32,7955,20,1518,43,216350,39948,2020-05-15
56,Argentina,7134,0,353,0,2497,4284,170,158,8,96893,2146,2020-05-15
57,Australia,7019,30,98,0,6337,584,17,276,4,983816,38640,2020-05-15
58,Malaysia,6855,36,112,0,5439,1304,14,212,3,424306,13132,2020-05-15
59,Morocco,6652,45,190,0,3400,3062,1,181,5,81616,2215,2020-05-15
60,Algeria,6629,187,536,7,3271,2822,22,152,12,6500,149,2020-05-15
61,Bahrain,6583,385,12,2,2640,3931,4,3888,7,222542,131447,2020-05-15
62,Finland,6228,83,293,6,5000,935,32,1124,53,140600,25381,2020-05-15
63,Afghanistan,6053,414,153,17,745,5155,7,156,4,20854,537,2020-05-15
64,Moldova,5745,192,202,8,2228,3315,251,1424,50,20447,5067,2020-05-15
65,Kazakhstan,5689,118,34,2,2707,2948,31,303,2,483236,25777,2020-05-15
66,Ghana,5638,108,28,4,1460,4150,5,182,9,167704,5413,2020-05-15
67,Nigeria,5450,288,171,4,1320,3959,7,27,8,30657,149,2020-05-15
68,Oman,4625,284,20,2,1350,3255,31,909,4,61000,11988,2020-05-15
69,Armenia,4044,184,52,3,1666,2326,10,1365,18,37476,12650,2020-05-15
70,Luxembourg,3923,8,104,1,3682,137,11,6281,167,59987,96039,2020-05-15
71,Hungary,3417,37,442,6,1287,1688,46,354,46,127237,13167,2020-05-15
72,Bolivia,3372,224,152,10,356,2864,3,289,13,7651,657,2020-05-15
73,Iraq,3193,50,117,2,2089,987,0,80,3,140573,3506,2020-05-15
74,Thailand,3025,7,56,0,2854,115,61,43,8,286008,4099,2020-05-15
75,Azerbaijan,2980,101,36,1,1886,1058,37,294,4,220363,21759,2020-05-15
76,Cameroon,2954,0,139,0,1553,1262,28,112,5,0,0,2020-05-15
77,Greece,2810,40,160,4,1374,1276,23,269,15,120015,11507,2020-05-15
78,Uzbekistan,2686,41,11,0,2158,517,8,80,3,460000,13771,2020-05-15
79,Guinea,2473,0,15,0,895,1563,18,189,1,10304,788,2020-05-15
80,Honduras,2318,63,133,10,253,1932,10,235,13,5653,572,2020-05-15
81,Senegal,2310,121,25,2,890,1395,6,138,1,24599,1475,2020-05-15
82,Bosnia and Herzegovina,2236,18,128,6,1336,772,4,681,39,47149,14360,2020-05-15
83,Croatia,2222,1,95,1,1869,258,8,541,23,51568,12552,2020-05-15
84,Bulgaria,2138,38,102,3,545,1491,51,307,15,63319,9104,2020-05-15
